symbol	hgncId	ncbiGeneId	ensemblGeneId
ADTRP	HGNC:21214	84830	ENSG00000111863
AEBP2	HGNC:24051	121536	ENSG00000139154
AEN	HGNC:25722	64782	ENSG00000181026
AFAP1	HGNC:24017	60312	ENSG00000196526
AFAP1L1	HGNC:26714	134265	ENSG00000157510
AFAP1L2	HGNC:25901	84632	ENSG00000169129
AFDN	HGNC:7137	4301	ENSG00000130396
AFG1L	HGNC:16411	246269	ENSG00000135537
AFM	HGNC:316	173	ENSG00000079557
AFMID	HGNC:20910	125061	ENSG00000183077
AFTPH	HGNC:25951	54812	ENSG00000119844
AGAP1	HGNC:16922	116987	ENSG00000157985
AGAP2	HGNC:16921	116986	ENSG00000135439
AGAP3	HGNC:16923	116988	ENSG00000133612
AGAP4	HGNC:23459	119016	ENSG00000188234
AGAP5	HGNC:23467	729092	ENSG00000172650
AGAP6	HGNC:23466	414189	ENSG00000204149
AGAP9	HGNC:23463	642517	ENSG00000204172
AGBL2	HGNC:26296	79841	ENSG00000165923
AGBL3	HGNC:27981	340351	ENSG00000146856
AGBL4	HGNC:25892	84871	ENSG00000186094
AGER	HGNC:320	177	ENSG00000204305
AGFG1	HGNC:5175	3267	ENSG00000173744
AGFG2	HGNC:5177	3268	ENSG00000106351
AGMAT	HGNC:18407	79814	ENSG00000116771
AGMO	HGNC:33784	392636	ENSG00000187546
AGO3	HGNC:18421	192669	ENSG00000126070
AGO4	HGNC:18424	192670	ENSG00000134698
AGPAT1	HGNC:324	10554	ENSG00000204310
AGPAT3	HGNC:326	56894	ENSG00000160216
AGPAT4	HGNC:20885	56895	ENSG00000026652
AGPAT5	HGNC:20886	55326	ENSG00000155189
AGR3	HGNC:24167	155465	ENSG00000173467
AGTRAP	HGNC:13539	57085	ENSG00000177674
AHCTF1	HGNC:24618	25909	ENSG00000153207
AHCYL1	HGNC:344	10768	ENSG00000168710
AHCYL2	HGNC:22204	23382	ENSG00000158467
AHNAK	HGNC:347	79026	ENSG00000124942
AHNAK2	HGNC:20125	113146	ENSG00000185567
AHRR	HGNC:346	57491	ENSG00000063438
AHSA1	HGNC:1189	10598	ENSG00000100591
AHSP	HGNC:18075	51327	ENSG00000169877
AIDA	HGNC:25761	64853	ENSG00000186063
AIF1	HGNC:352	199	ENSG00000204472
AIF1L	HGNC:28904	83543	ENSG00000126878
AIFM2	HGNC:21411	84883	ENSG00000042286
AIFM3	HGNC:26398	150209	ENSG00000183773
AIG1	HGNC:21607	51390	ENSG00000146416
AIM2	HGNC:357	9447	ENSG00000163568
AIRIM	HGNC:26039	54955	ENSG00000116922
AJAP1	HGNC:30801	55966	ENSG00000196581
AJM1	HGNC:37284	389813	ENSG00000232434
AJUBA	HGNC:20250	84962	ENSG00000129474
AK3	HGNC:17376	50808	ENSG00000147853
AK4	HGNC:363	205	ENSG00000162433
AK5	HGNC:365	26289	ENSG00000154027
AK6	HGNC:49151	102157402	ENSG00000085231
AK8	HGNC:26526	158067	ENSG00000165695
AKAIN1	HGNC:28285	642597	ENSG00000231824
AKAP1	HGNC:367	8165	ENSG00000121057
AKAP5	HGNC:375	9495	ENSG00000179841
AKAP6	HGNC:376	9472	ENSG00000151320
AKAP7	HGNC:377	9465	ENSG00000118507
AKAP8	HGNC:378	10270	ENSG00000105127
AKAP8L	HGNC:29857	26993	ENSG00000011243
AKAP10	HGNC:368	11216	ENSG00000108599
AKAP11	HGNC:369	11215	ENSG00000023516
AKAP12	HGNC:370	9590	ENSG00000131016
AKAP13	HGNC:371	11214	ENSG00000170776
AKAP14	HGNC:24061	158798	ENSG00000186471
AKAP17A	HGNC:18783	8227	ENSG00000197976
AKAP19	HGNC:28191	84281	ENSG00000187699
AKIP1	HGNC:1170	56672	ENSG00000166452
AKIRIN1	HGNC:25744	79647	ENSG00000174574
AKIRIN2	HGNC:21407	55122	ENSG00000135334
AKNA	HGNC:24108	80709	ENSG00000106948
AKNAD1	HGNC:28398	254268	ENSG00000162641
AKR1A1	HGNC:380	10327	ENSG00000117448
AKR1B1	HGNC:381	231	ENSG00000085662
AKR1B10	HGNC:382	57016	ENSG00000198074
AKR1B15	HGNC:37281	441282	ENSG00000227471
AKR1C1	HGNC:384	1645	ENSG00000187134
AKR1C3	HGNC:386	8644	ENSG00000196139
AKR1C8	HGNC:23469	340811	ENSG00000264006
AKR1E2	HGNC:23437	83592	ENSG00000165568
AKR7A2	HGNC:389	8574	ENSG00000053371
AKR7A3	HGNC:390	22977	ENSG00000162482
AKR7L	HGNC:24056	246181	ENSG00000211454
AKT1S1	HGNC:28426	84335	ENSG00000204673
AKTIP	HGNC:16710	64400	ENSG00000166971
ALAS1	HGNC:396	211	ENSG00000023330
ALCAM	HGNC:400	214	ENSG00000170017
ALDH1A1	HGNC:402	216	ENSG00000165092
ALDH1B1	HGNC:407	219	ENSG00000137124
ALDH1L1	HGNC:3978	10840	ENSG00000144908
ALDH1L2	HGNC:26777	160428	ENSG00000136010
ALDH3A1	HGNC:405	218	ENSG00000108602
ALDH3B1	HGNC:410	221	ENSG00000006534
ALDH3B2	HGNC:411	222	ENSG00000132746
ALDH8A1	HGNC:15471	64577	ENSG00000118514
ALDH16A1	HGNC:28114	126133	ENSG00000161618
ALDOC	HGNC:418	230	ENSG00000109107
ALG1L2	HGNC:37258	644974	ENSG00000251287
ALKAL1	HGNC:33775	389658	ENSG00000196711
ALKAL2	HGNC:27683	285016	ENSG00000189292
ALKBH1	HGNC:17911	8846	ENSG00000100601
ALKBH2	HGNC:32487	121642	ENSG00000189046
ALKBH3	HGNC:30141	221120	ENSG00000166199
ALKBH4	HGNC:21900	54784	ENSG00000160993
