pair_id,gene_concept_id,gene_curie,gene_label,disease_concept_id,disease_curie,disease_label,seed_phenotype_count,seed_phenotype_rarity_score,shared_phenotype_count,shared_phenotype_rarity_score,phenotype_jaccard,shared_ratio_to_gene,shared_ratio_to_disease,gene_alias_count,gene_member_count,gene_xref_count,gene_phenotype_count,gene_out_degree,disease_alias_count,disease_member_count,disease_xref_count,disease_phenotype_count,disease_lacks_phenotype_count,disease_in_degree,disease_out_degree,disease_trial_count
2ef39a3cd2f25d50ad9b3d56ad5e2b0d,54006,NCBIGene:26580,BSCL2,12071,MONDO:0012071,congenital generalized lipodystrophy type 1,4,1.5,35,3.1106755498132572,0.2046783625730994,0.21084337349397592,0.875,1,2,0,166,182,15,1,6,40,0,2,42,0
eb980005647cfeb6bc0775d8479a76e5,53550,NCBIGene:10555,AGPAT2,10020,MONDO:0010020,congenital generalized lipodystrophy type 2,5,1.8333333333333333,35,2.7177894070290014,0.7291666666666666,0.875,0.813953488372093,1,2,0,40,46,21,1,6,43,0,2,45,0
036afabaf59f65819f16309beef197e3,50919,NCBIGene:1084,CEACAM3,9061,MONDO:0009061,cystic fibrosis,5,1.2333333333333334,35,2.4125849220427407,0.5072463768115942,1,0.5072463768115942,1,2,0,35,36,7,1,19,69,0,109,71,102
06d8427e5ec92cdd85fe3b5b7d034d0c,51204,NCBIGene:1909,EDNRA,9061,MONDO:0009061,cystic fibrosis,5,1.2333333333333334,35,2.4125849220427407,0.3431372549019608,0.5147058823529411,0.5072463768115942,1,2,0,68,78,7,1,19,69,0,109,71,102
101b910177f78b20312132b07a8cde1b,54191,NCBIGene:51164,DCTN4,9061,MONDO:0009061,cystic fibrosis,5,1.2333333333333334,35,2.4125849220427407,0.5072463768115942,1,0.5072463768115942,1,2,0,35,36,7,1,19,69,0,109,71,102
2f8ad57dea1d4c99c293bd5323a71a89,52605,NCBIGene:6556,SLC11A1,9061,MONDO:0009061,cystic fibrosis,5,1.2333333333333334,35,2.4125849220427407,0.5072463768115942,1,0.5072463768115942,1,2,0,35,41,7,1,19,69,0,109,71,102
436529a28e40f9dd5f3fabfabc3bd1d8,53703,NCBIGene:22802,CLCA4,9061,MONDO:0009061,cystic fibrosis,5,1.2333333333333334,35,2.4125849220427407,0.5072463768115942,1,0.5072463768115942,1,2,0,35,36,7,1,19,69,0,109,71,102
647e140c2aba480dc84eb974f979d927,55272,NCBIGene:115019,SLC26A9,9061,MONDO:0009061,cystic fibrosis,5,1.2333333333333334,35,2.4125849220427407,0.5072463768115942,1,0.5072463768115942,1,2,0,35,36,7,1,19,69,0,109,71,102
725096e55829344ea4f8383555c90fa2,53686,NCBIGene:11254,SLC6A14,9061,MONDO:0009061,cystic fibrosis,5,1.2333333333333334,35,2.4125849220427407,0.5072463768115942,1,0.5072463768115942,1,2,0,35,36,7,1,19,69,0,109,71,102
7d7a34072a563e5759e24dde467db56b,51509,NCBIGene:2947,GSTM3,9061,MONDO:0009061,cystic fibrosis,5,1.2333333333333334,35,2.4125849220427407,0.5072463768115942,1,0.5072463768115942,1,2,0,35,36,7,1,19,69,0,109,71,102
90cff5c36fc0eb5a3990634e4548aada,52036,NCBIGene:4680,CEACAM6,9061,MONDO:0009061,cystic fibrosis,5,1.2333333333333334,35,2.4125849220427407,0.5072463768115942,1,0.5072463768115942,1,2,0,35,36,7,1,19,69,0,109,71,102
fe4ebbe15a42e91e72335111dc7c715f,55215,NCBIGene:92211,CDHR1,19200,MONDO:0019200,retinitis pigmentosa,4,2.3968253968253967,34,3.0708965186187607,0.576271186440678,0.6181818181818182,0.8947368421052632,1,2,0,55,59,4,1,14,38,0,263,39,0
d4e5259955d17deab6ac6f6ed50bd84e,55225,NCBIGene:92840,REEP6,19200,MONDO:0019200,retinitis pigmentosa,5,2.353968253968254,34,2.9062019305095985,0.7083333333333334,0.7727272727272727,0.8947368421052632,1,2,0,44,47,4,1,14,38,0,263,39,0
9a5dad28bf281f3eb587096232ba5218,51631,NCBIGene:3419,IDH3A,19200,MONDO:0019200,retinitis pigmentosa,4,2.253968253968254,33,2.85013848090068,0.673469387755102,0.75,0.868421052631579,1,2,0,44,47,4,1,14,38,0,263,39,0
dff46579568e9ac724315bdc92f3e62b,54709,NCBIGene:60509,AGBL5,19200,MONDO:0019200,retinitis pigmentosa,4,2.253968253968254,33,2.8320407256236035,0.717391304347826,0.8048780487804879,0.868421052631579,1,2,0,41,44,4,1,14,38,0,263,39,0
ca7d91ab6e051515463a4526153dcbc5,53365,NCBIGene:9785,DHX38,19200,MONDO:0019200,retinitis pigmentosa,4,2.253968253968254,33,2.803469297052175,0.717391304347826,0.8048780487804879,0.868421052631579,1,2,0,41,44,4,1,14,38,0,263,39,0
5f6a99a29d2d85f2d6472bd4933ac77c,53894,NCBIGene:23568,ARL2BP,19200,MONDO:0019200,retinitis pigmentosa,5,2.353968253968254,33,2.7998120093152705,0.6470588235294118,0.717391304347826,0.868421052631579,1,2,0,46,49,4,1,14,38,0,263,39,0
199af27f6e00b7314c9e4e296c3b1082,51936,NCBIGene:4338,MOCS2,9643,MONDO:0009643,sulfite oxidase deficiency due to molybdenum cofactor deficiency type A,5,1.2333333333333334,33,1.9517124179057037,0.6111111111111112,0.7674418604651163,0.75,1,2,0,43,47,10,1,8,44,0,2,45,0
f6fe9c840136fa19a0c2d3c475c06670,53843,NCBIGene:23370,ARHGEF18,19200,MONDO:0019200,retinitis pigmentosa,5,2.353968253968254,32,2.9060072279490625,0.7111111111111111,0.8205128205128205,0.8421052631578947,1,2,0,39,42,4,1,14,38,0,263,39,0
29c95ca63a21ea07685ba4c11b219187,52854,NCBIGene:7275,TUB,19200,MONDO:0019200,retinitis pigmentosa,4,2.253968253968254,32,2.781637777079306,0.64,0.7272727272727273,0.8421052631578947,1,2,0,44,47,4,1,14,38,0,263,39,0
caa326887247addf88bcb4137a1d9b90,54908,NCBIGene:79934,COQ8B,19200,MONDO:0019200,retinitis pigmentosa,4,2.253968253968254,32,2.7672227220985817,0.47761194029850745,0.5245901639344263,0.8421052631578947,1,2,0,61,65,4,1,14,38,0,263,39,0
01fe4d2f56f7a46f8ecdf1361578805d,50819,NCBIGene:762,CA4,19200,MONDO:0019200,retinitis pigmentosa,5,2.353968253968254,31,2.7669900557421365,0.8157894736842105,1,0.8157894736842105,1,2,0,31,32,4,1,14,38,0,263,39,0
5f895334d811a3b19db9516fd999c88d,53004,NCBIGene:8100,IFT88,19200,MONDO:0019200,retinitis pigmentosa,5,2.353968253968254,31,2.7669900557421365,0.8157894736842105,1,0.8157894736842105,1,2,0,31,32,4,1,14,38,0,263,39,0
54a01f1a48311b356a74836e36e1e32d,52650,NCBIGene:6658,SOX3,56285,ORPHA:95494,"Combined pituitary hormone deficiencies, genetic forms",4,0.7277777777777777,31,1.692664518060017,0.3229166666666667,0.3522727272727273,0.7948717948717948,1,2,0,88,97,1,1,0,39,0,7,39,0
a4dbabfa9d14f75ecca0545c395674bc,53105,NCBIGene:8643,PTCH2,27094,MONDO:0958174,basal cell nevus syndrome 1,5,1.25,28,1.9252462424847023,0.37333333333333335,0.5490196078431373,0.5384615384615384,1,2,0,51,61,1,1,2,52,0,2,53,0
ec32aa514482eeea1eae3aeb92258207,52367,NCBIGene:5699,PSMB10,11338,MONDO:0011338,Omenn syndrome,5,0.3517676767676768,28,0.6002035019980078,0.2545454545454545,1,0.2545454545454545,1,2,0,28,29,6,1,11,110,0,6,112,0
365b356eb17b2d7f0c26ebbb797f70c9,55671,NCBIGene:342035,GLDN,25043,MONDO:0100101,fetal akinesia deformation sequence 1,4,0.4861111111111111,27,0.7316429779215101,0.3068181818181818,0.6923076923076923,0.35526315789473684,1,2,0,39,42,4,1,6,76,0,2,77,0
11b61241483cf80640987c5d4e889d44,54532,NCBIGene:55851,PSENEN,22288,MONDO:0024534,Dowling-Degos disease 1,5,5,26,6.637185731869475,0.7647058823529411,0.7878787878787878,0.9629629629629629,1,2,0,33,36,7,1,4,27,0,2,28,0
cdb0d82c1ca70653d84ad3ba6aff937b,53878,NCBIGene:23509,POFUT1,22288,MONDO:0024534,Dowling-Degos disease 1,5,5,26,6.598908219907752,0.8387096774193549,0.8666666666666667,0.9629629629629629,1,2,0,30,34,7,1,4,27,0,2,28,0
5fdd966334920295c8f489899f53c9a4,54585,NCBIGene:56983,POGLUT1,22288,MONDO:0024534,Dowling-Degos disease 1,5,5,26,6.551682046365789,0.5531914893617021,0.5652173913043478,0.9629629629629629,1,2,0,46,53,7,1,4,27,0,2,28,0
166820b35f76824da9358d6b10f3bbfb,51077,NCBIGene:1535,CYBA,10600,MONDO:0010600,"granulomatous disease, chronic, X-linked",5,1.4,26,2.6884332816852354,0.4642857142857143,0.5416666666666666,0.7647058823529411,1,2,0,48,52,11,1,8,34,0,3,35,1
eced64a096d6a4b2bb5214b77a962bdf,51077,NCBIGene:1535,CYBA,9310,MONDO:0009310,"granulomatous disease, chronic, autosomal recessive, cytochrome b-positive, type 2",4,0.9,26,2.213192975068707,0.41935483870967744,0.5416666666666666,0.65,1,2,0,48,52,12,1,7,40,0,2,41,0
689b84e792b66d68714e9f6bbbfd0f76,53558,NCBIGene:10577,NPC2,9757,MONDO:0009757,"Niemann-Pick disease, type C1",5,1.4583333333333333,26,1.8382623219608603,0.5777777777777777,0.6842105263157895,0.7878787878787878,1,2,0,38,47,14,1,8,33,0,6,34,4
d30204707c60b24cf4acb1f7a2efc788,51078,NCBIGene:1536,CYBB,9308,MONDO:0009308,"granulomatous disease, chronic, autosomal recessive, cytochrome b-negative",4,1.2,25,2.685933281685235,0.4032258064516129,0.4098360655737705,0.9615384615384616,1,2,0,61,68,6,1,7,26,0,2,27,0
f5dfb3817b524789cc6a7f311524bd04,51077,NCBIGene:1535,CYBA,9309,MONDO:0009309,"granulomatous disease, chronic, autosomal recessive, cytochrome b-positive, type 1",4,0.9,25,2.18616594804168,0.5208333333333334,0.5208333333333334,1,1,2,0,48,52,14,1,7,25,0,2,26,0
b702a569783e6b06dfc7c78fead33c88,52151,NCBIGene:5052,PRDX1,10183,MONDO:0010183,methylmalonic aciduria and homocystinuria type cblF,4,0.8928571428571429,25,1.2972468774298394,0.2976190476190476,0.38461538461538464,0.5681818181818182,1,2,0,65,70,20,1,9,44,0,2,45,0
