rank,prediction_score,pair_id,gene_concept_id,gene_curie,gene_label,disease_concept_id,disease_curie,disease_label,seed_phenotype_count,seed_phenotype_rarity_score,shared_phenotype_count,shared_phenotype_rarity_score,phenotype_jaccard
53,0.452696,8aab8ccc7e7a757066495c5cdf2133f7,54572,NCBIGene:56776,FMN2,10258,MONDO:0010258,MEHMO syndrome,5,0.00866502510129867,5,0.00866502510129867,0.07142857142857142
54,0.452696,f12332be82b7972f72af840b8ba5fbf8,52987,NCBIGene:7991,TUSC3,10184,MONDO:0010184,methylmalonic aciduria and homocystinuria type cblC,5,0.0025576088000048127,5,0.0025576088000048127,0.07575757575757576
55,0.452696,f3e9546cdeadb7ddd71704548e882e1e,51932,NCBIGene:4327,MMP19,8289,MONDO:0008289,brain small vessel disease 1 with or without ocular anomalies,4,0.09161824656961347,4,0.09161824656961347,0.07692307692307693
56,0.452696,e7533d7c4b6fde1e59300c62545aa583,51076,NCBIGene:1534,CYB561,9288,MONDO:0009288,glycogen storage disease Ib,4,0.0818216205921498,4,0.0818216205921498,0.06153846153846154
57,0.449805,4fd0e18dc03e2db942d98182a61a1af0,53394,NCBIGene:9922,IQSEC1,30554,MONDO:1060177,developmental and epileptic encephalopathy 119,8,0.02306278085018084,13,0.02721956321300695,0.07027027027027027
58,0.449805,9b1a4e9ccd47a0809910a58f8f8f38b8,51484,NCBIGene:2819,GPD1,19149,MONDO:0019149,cholesteryl ester storage disease,8,0.06891405942294959,11,0.07167687855344966,0.12087912087912088
59,0.449805,7bbfde4ed0143d33c792abcc51b0b181,53555,NCBIGene:10565,ARFGEF1,14855,MONDO:0014855,"intellectual disability, autosomal dominant 42",8,0.0672619812927918,11,0.06856412381598047,0.13253012048192772
60,0.449805,4ca07c85e76c3f5169c32c2872b0c116,54398,NCBIGene:55074,OXR1,27581,MONDO:0980699,"neurodevelopmental disorder with growth impairment, quadriparesis, and poor or absent speech",8,0.009938410365079326,11,0.01098826709550228,0.08396946564885496
61,0.449805,4a77a6de26eeee7261f24245787e90e5,54927,NCBIGene:80155,NAA15,14606,MONDO:0014606,intellectual disability-microcephaly-strabismus-behavioral abnormalities syndrome,8,0.0228825083620114,10,0.023961512630548753,0.047619047619047616
62,0.449805,86f8b39694ab5d28c203d76f5862aa3e,54927,NCBIGene:80155,NAA15,14379,MONDO:0014379,ADNP-related multiple congenital anomalies - intellectual disability - autism spectrum disorder,8,0.018478808454526964,10,0.019557812723064318,0.050761421319796954
63,0.449805,3b4307896f92a97a831e249c9e477aaf,54927,NCBIGene:80155,NAA15,7387,MONDO:0007387,Cornelia de Lange syndrome 1,8,0.013354019438865427,10,0.014030771092760784,0.07751937984496124
64,0.449805,71e09534d8715df0ee830ea5d62da5ef,54927,NCBIGene:80155,NAA15,26555,MONDO:0859178,"developmental delay, impaired speech, and behavioral abnormalities",8,0.013354019438865427,10,0.014030771092760784,0.05319148936170213
65,0.449805,7c64a4e117f38fe5b3dfa29163830498,54927,NCBIGene:80155,NAA15,26978,MONDO:0957588,"neurodevelopmental disorder with impaired language, behavioral abnormalities, and dysmorphic facies",8,0.013354019438865427,10,0.014030771092760784,0.11764705882352941
66,0.449805,c5b45a984c5c2d4aa3562668b6ed72e0,54195,NCBIGene:51185,CRBN,27446,MONDO:0976231,"intellectual developmental disorder, autosomal recessive 83",8,0.01938182562067233,9,0.01961449197711719,0.14516129032258066
67,0.449805,991fa19cf1942d60346253049e9a75d1,54927,NCBIGene:80155,NAA15,58858,ORPHA:464311,Intellectual disability syndrome due to a DYRK1A point mutation,8,0.013354019438865427,9,0.01375627205350742,0.13043478260869565
68,0.449805,3633d9e9b30860deead0e7f339a9254d,54927,NCBIGene:80155,NAA15,14892,MONDO:0014892,micrognathia-recurrent infections-behavioral abnormalities-mild intellectual disability syndrome,8,0.013354019438865427,9,0.013628518478118789,0.12857142857142856
69,0.440647,45f244cfbed0633dec380ca328f528d1,54791,NCBIGene:64859,NABP1,12883,MONDO:0012883,acute promyelocytic leukemia,8,0.5555735930735931,36,0.853283743671596,0.9230769230769231
70,0.440647,5919943d74c8752eedb428c1babe1582,54979,NCBIGene:81608,FIP1L1,12883,MONDO:0012883,acute promyelocytic leukemia,8,0.5555735930735931,36,0.853283743671596,0.9230769230769231
71,0.440647,9ddef4dbacdc0b468af90cce14812283,52124,NCBIGene:4926,NUMA1,12883,MONDO:0012883,acute promyelocytic leukemia,8,0.5555735930735931,36,0.853283743671596,0.9230769230769231
72,0.440647,b184a202d697d0f4ca82cfd4d5aeb843,52278,NCBIGene:5371,PML,12883,MONDO:0012883,acute promyelocytic leukemia,8,0.5555735930735931,36,0.853283743671596,0.9230769230769231
73,0.440647,f86a8976db9fd93103bc037045537200,52954,NCBIGene:7704,ZBTB16,12883,MONDO:0012883,acute promyelocytic leukemia,8,0.5555735930735931,36,0.853283743671596,0.9230769230769231
74,0.440647,29c6a5fe21554a60ad28b5d8231c4bb2,50883,NCBIGene:958,CD40,10626,MONDO:0010626,hyper-IgM syndrome type 1,8,0.9878552496055556,10,0.9980098887808133,0.23809523809523808
75,0.440647,fb80fa408407b93f4a9aa760bf2c028a,54199,NCBIGene:51206,GP6,23125,MONDO:0031332,Glanzmann thrombasthenia 1,8,0.6061751938981171,9,0.6064078602545621,0.25
76,0.440647,4ebb9bf53828e6727f343602199ed41f,51007,NCBIGene:1337,COX6A1,7308,MONDO:0007308,Charcot-Marie-Tooth disease type 2A1,8,0.06308989125891902,9,0.06554689371592147,0.391304347826087
77,0.430514,c1ecedcef39025cef66e952da7716563,52105,NCBIGene:4869,NPM1,12883,MONDO:0012883,acute promyelocytic leukemia,4,0.3253968253968254,37,0.8672354667090978,0.3592233009708738
78,0.430514,26e629c201d5dfc4fdfb631b9f89af45,52689,NCBIGene:6777,STAT5B,12883,MONDO:0012883,acute promyelocytic leukemia,7,0.5101190476190476,36,0.853283743671596,0.6
79,0.430514,6100f03528d952562e3b264aa8c14b24,55696,NCBIGene:359948,IRF2BP2,12883,MONDO:0012883,acute promyelocytic leukemia,6,0.45456349206349206,36,0.853283743671596,0.72
80,0.430514,cb58457e539da6f346bd531026cbbb24,53952,NCBIGene:25974,MMACHC,10185,MONDO:0010185,methylmalonic aciduria and homocystinuria type cblD,4,0.6845238095238095,24,1.3672002893589423,0.1610738255033557
81,0.430514,25289ec3a603cbdfdd71bbac4d14afef,52151,NCBIGene:5052,PRDX1,10185,MONDO:0010185,methylmalonic aciduria and homocystinuria type cblD,5,0.7956349206349206,21,1.0636952493641854,0.27631578947368424
82,0.430514,66b35366a5eff6603103a448efb8edf8,51978,NCBIGene:4552,MTRR,10185,MONDO:0010185,methylmalonic aciduria and homocystinuria type cblD,5,0.6597222222222222,19,0.8606189592445916,0.2087912087912088
83,0.430514,c679545a297064384daac4a6f74d49bc,51976,NCBIGene:4548,MTR,10185,MONDO:0010185,methylmalonic aciduria and homocystinuria type cblD,5,0.5295893719806763,16,0.6039051693707728,0.27586206896551724
84,0.430514,eac15c2986f5943a9dca33bfbd782e6f,50963,NCBIGene:1201,CLN3,9744,MONDO:0009744,neuronal ceroid lipofuscinosis 1,4,0.26750700280112044,15,0.32094937712468524,0.3
85,0.430514,89c2e1e45c7e66bb519256767c8de16a,52396,NCBIGene:5826,ABCD4,10185,MONDO:0010185,methylmalonic aciduria and homocystinuria type cblD,6,0.691468253968254,13,0.7732871679453848,0.22807017543859648
86,0.430514,6929ef55b75e997881d68b141116f538,53122,NCBIGene:8729,GBF1,7308,MONDO:0007308,Charcot-Marie-Tooth disease type 2A1,4,0.12500160658055395,13,0.16009715443590514,0.41935483870967744
87,0.430514,b14a456571f2f2ac9d4507f9242ffde2,55190,NCBIGene:90678,LRSAM1,7308,MONDO:0007308,Charcot-Marie-Tooth disease type 2A1,4,0.11268633564459336,13,0.14981155875190424,0.4642857142857143
88,0.430514,9670e4eb2b1f0f98db4b66b3d3e13ebb,51994,NCBIGene:4582,MUC1,8073,MONDO:0008073,familial juvenile hyperuricemic nephropathy type 1,4,0.2155561829474873,12,0.3219762545940695,0.24489795918367346
89,0.430514,89bff09985063d25dc6f8f94c2718b0b,50674,NCBIGene:337,APOA4,8073,MONDO:0008073,familial juvenile hyperuricemic nephropathy type 1,4,0.2246470920383964,12,0.2944380492759586,0.26666666666666666
90,0.430514,feaffc1f2be090b72855f21d58f6ef3a,51372,NCBIGene:2533,FYB1,9276,MONDO:0009276,Bernard-Soulier syndrome,6,0.291377746270153,11,0.33199636962002455,0.2558139534883721
91,0.430514,28ff182fcf23eed41addfa5d49f10c56,54140,NCBIGene:50717,DCAF8,7308,MONDO:0007308,Charcot-Marie-Tooth disease type 2A1,5,0.06698018993844765,11,0.08482565978753823,0.44
92,0.430514,217923f466c7d309ca17c98ee8728faa,54806,NCBIGene:65260,COA7,7308,MONDO:0007308,Charcot-Marie-Tooth disease type 2A1,6,0.05783213952863024,11,0.07776367939298086,0.3333333333333333
93,0.430514,8aeba69aa9145581fde74f43cf634e29,51275,NCBIGene:2155,F7,10604,MONDO:0010604,hemophilia B,4,0.24523809523809523,9,0.3938349530500753,0.20930232558139536
94,0.430514,9fadfe2d6b7ecf0030c634b950e415d4,51545,NCBIGene:3054,HCFC1,10185,MONDO:0010185,methylmalonic aciduria and homocystinuria type cblD,4,0.22056159420289856,9,0.22299342486578466,0.2
95,0.430514,9790e403a3a2125a0b289c7c66eebc3a,55187,NCBIGene:90523,MLIP,9293,MONDO:0009293,glycogen storage disease V,4,0.11682158421288856,9,0.1294519009970381,0.28125
96,0.430514,1ce599fba7aed795ce8a30c90d747699,54950,NCBIGene:80311,KLHL15,10306,MONDO:0010306,"X-linked intellectual disability, Cabezas type",5,0.019875010977515224,9,0.02351485329205166,0.16363636363636364
97,0.430514,fbd618b29b834bed7d0c738ee421e487,53732,NCBIGene:22909,FAN1,8073,MONDO:0008073,familial juvenile hyperuricemic nephropathy type 1,5,0.18396805896805896,8,0.19702700657842123,0.17777777777777778
98,0.430514,a5ea47a4a911e969534a0a42a591e303,53477,NCBIGene:10253,SPRY2,8073,MONDO:0008073,familial juvenile hyperuricemic nephropathy type 1,7,0.12425313552176695,8,0.12452763456102031,0.1951219512195122
99,0.430514,1b07aca8760f264797b411f2c3d3ec23,53182,NCBIGene:8988,HSPB3,10549,MONDO:0010549,Charcot-Marie-Tooth disease X-linked dominant 1,4,0.10249923989054424,8,0.12188578706877064,0.17391304347826086
100,0.430514,5a393c36fa66741a0d8f02cf313fd477,54195,NCBIGene:51185,CRBN,10574,MONDO:0010574,syndromic X-linked intellectual disability 5,7,0.016764024573551913,8,0.017166277188193906,0.16666666666666666
101,0.430514,4e7a5d17629647daf93bf0c50aaf4b88,55581,NCBIGene:255758,DYNLT2B,13127,MONDO:0013127,asphyxiating thoracic dystrophy 3,4,0.2962164750957854,7,0.2989352814383703,0.17073170731707318
102,0.430514,702e82f281c002f8746409fe116390d2,53474,NCBIGene:10235,RASGRP2,23125,MONDO:0031332,Glanzmann thrombasthenia 1,6,0.2634306636535869,7,0.2636633300100318,0.1891891891891892
103,0.430514,d0e060e7255f04dcb69d55f54e8437b8,52327,NCBIGene:5568,PRKACG,9276,MONDO:0009276,Bernard-Soulier syndrome,6,0.2583560408924864,7,0.2585887072489313,0.1794871794871795
104,0.430514,95b3f70c9c6b711023e3aeb154283f36,51598,NCBIGene:3208,HPCA,7492,MONDO:0007492,early-onset generalized limb-onset dystonia,4,0.22064305203840087,7,0.2383271935659326,0.17073170731707318
105,0.430514,abf0c573c19d455d6c0122437164cf03,51372,NCBIGene:2533,FYB1,23125,MONDO:0031332,Glanzmann thrombasthenia 1,4,0.17273226132032024,7,0.2106896896934533,0.15555555555555556
106,0.430514,b1250857052d97b20f8ed257313c6b76,55504,NCBIGene:196527,ANO6,9276,MONDO:0009276,Bernard-Soulier syndrome,5,0.1898824513061628,7,0.19557959853692458,0.175
107,0.430514,100ed126bee82c5dcf6be4c50ec61108,51706,NCBIGene:3673,ITGA2,10602,MONDO:0010602,hemophilia A,4,0.1258655440744993,7,0.15633587393025497,0.17073170731707318
108,0.430514,821cf2c1e2326c857061e1515278d098,55373,NCBIGene:135228,CD109,10602,MONDO:0010602,hemophilia A,4,0.1258655440744993,7,0.15633587393025497,0.17073170731707318
109,0.430514,6f554634109c2c6056c8b9b517eaa06a,52214,NCBIGene:5224,PGAM2,9293,MONDO:0009293,glycogen storage disease V,6,0.12714472699426524,7,0.12737739335071008,0.3684210526315789
110,0.430514,834967caa9ac7fb24164480922ac8e8e,53115,NCBIGene:8694,DGAT1,11257,MONDO:0011257,MPI-congenital disorder of glycosylation,5,0.07655708171497645,7,0.07774212902380226,0.22580645161290322
111,0.430514,aa529924642f40f65b7befcd8e92ab37,51264,NCBIGene:2120,ETV6,12883,MONDO:0012883,acute promyelocytic leukemia,5,0.043338496622348434,7,0.04767483504446564,0.1590909090909091
112,0.430514,33fc89e645230875d4ce8bdca83f62a7,53749,NCBIGene:23005,MAPKBP1,8073,MONDO:0008073,familial juvenile hyperuricemic nephropathy type 1,7,0.02912344544431563,7,0.02912344544431563,0.16279069767441862
113,0.430514,826618d4de46b72e39e8c23a46b44ff8,50676,NCBIGene:344,APOC2,9387,MONDO:0009387,familial lipoprotein lipase deficiency,5,0.4811111383890212,6,0.48134380474546606,0.3
114,0.430514,77b73d3bfeb40d21a2a8f6d32ec5924d,53474,NCBIGene:10235,RASGRP2,15912,MONDO:0015912,macrothrombocytopenia and granulocyte inclusions with or without nephritis or sensorineural hearing loss,6,0.21898567303414254,6,0.21898567303414254,0.2727272727272727
115,0.430514,f24152117036559bdad8ad1bd3297cb0,54782,NCBIGene:64805,P2RY12,23125,MONDO:0031332,Glanzmann thrombasthenia 1,6,0.17626430108176747,6,0.17626430108176747,0.16216216216216217
116,0.430514,63f264ff288a44ce7550eaa251e6e2ea,53502,NCBIGene:10347,ABCA7,11913,MONDO:0011913,Alzheimer disease 3,4,0.13697815719965023,6,0.14077378299946697,0.2222222222222222
117,0.430514,ba3a38a1e804f870121a72ed8ea92b19,55504,NCBIGene:196527,ANO6,23125,MONDO:0031332,Glanzmann thrombasthenia 1,4,0.12919150826227857,6,0.1403531363673573,0.15384615384615385
118,0.430514,64be2d6fb667a51ed913c98883bea55a,52860,NCBIGene:7286,TUFT1,11581,MONDO:0011581,arrhythmogenic cardiomyopathy with wooly hair and keratoderma,6,0.11015927530801385,6,0.11015927530801385,0.2222222222222222
119,0.430514,d4a568985303941001523ab5a2fd181e,51616,NCBIGene:3300,DNAJB2,7308,MONDO:0007308,Charcot-Marie-Tooth disease type 2A1,5,0.026624298052157824,6,0.02908130050916028,0.2222222222222222
120,0.430514,952a6ba7d644d6380e10b2a0c29babed,52327,NCBIGene:5568,PRKACG,15912,MONDO:0015912,macrothrombocytopenia and granulocyte inclusions with or without nephritis or sensorineural hearing loss,5,0.10533725054248118,5,0.10533725054248118,0.21739130434782608
121,0.430514,87804076782ac9dc14dac64276878bf3,51231,NCBIGene:2027,ENO3,9295,MONDO:0009295,glycogen storage disease VII,5,0.09782615034517061,5,0.09782615034517061,0.1724137931034483
