rank,prediction_score,novelty_adjusted_score,novelty_bucket,strict_novelty_pass,pair_id,geneConceptId,gene_curie,gene_label,diseaseConceptId,disease_curie,disease_label,seed_phenotype_count,seed_phenotype_rarity_score,shared_phenotype_count,shared_phenotype_rarity_score,phenotype_jaccard,exact_match_count,equivalent_match_count,ancestor_match_count,descendant_match_count,shared_family_match_count,existing_match_examples,shared_family_examples
68,0.996099,0.249025,same_family_shared_ancestor,false,93ac195197601e190ab1e39f966b50ae,53473,NCBIGene:10233,LRRC23,24768,MONDO:0054724,spermatogenic failure 20,4,0.0810945045540681,6,0.08302208616475025,0.6,0,0,0,0,2,,spermatogenic failure 92 via spermatogenic failure
70,0.995939,0.248985,same_family_shared_ancestor,false,8978332a2b49635e722a843f6eb6bbd2,55398,NCBIGene:144406,CFAP251,24768,MONDO:0054724,spermatogenic failure 20,6,0.08302208616475025,6,0.08302208616475025,0.75,0,0,0,0,2,,spermatogenic failure 33 via spermatogenic failure
71,0.995939,0.248985,same_family_shared_ancestor,false,9f488d8feb9d78d9496e19112888c582,55307,NCBIGene:122481,AK7,24768,MONDO:0054724,spermatogenic failure 20,6,0.08302208616475025,6,0.08302208616475025,0.75,0,0,0,0,2,,spermatogenic failure 27 via spermatogenic failure
72,0.995916,0.248979,same_family_shared_ancestor,false,a067183f5236635d2bce6084d30d2c2d,54667,NCBIGene:57639,CCDC146,24767,MONDO:0054723,spermatogenic failure 19,5,0.09748794717701892,7,0.09941552878770106,0.7,0,0,0,0,2,,spermatogenic failure 94 via spermatogenic failure
73,0.995916,0.248979,same_family_shared_ancestor,false,baf120833b486799c54028f5651e0856,53473,NCBIGene:10233,LRRC23,24767,MONDO:0054723,spermatogenic failure 19,5,0.09748794717701892,7,0.09941552878770106,0.7,0,0,0,0,2,,spermatogenic failure 92 via spermatogenic failure
75,0.99576,0.24894,same_family_shared_ancestor,false,bfb352aa7667cd81b91dcafa9d6557f5,55530,NCBIGene:201625,DNAH12,27244,MONDO:0971000,spermatogenic failure 93,7,0.297077830977429,11,0.32197780257948305,0.9166666666666666,0,0,0,0,2,,spermatogenic failure 100 via spermatogenic failure
76,0.99576,0.24894,same_family_shared_ancestor,false,c1899ca41b55c7075d2de7c40b6ca334,55530,NCBIGene:201625,DNAH12,26889,MONDO:0957301,spermatogenic failure 84,7,0.297077830977429,11,0.32197780257948305,0.9166666666666666,0,0,0,0,2,,spermatogenic failure 100 via spermatogenic failure
78,0.995418,0.248855,same_family_shared_ancestor,false,397b04a57bd665f0a94b46ae3808918e,55742,NCBIGene:401024,FSIP2,24767,MONDO:0054723,spermatogenic failure 19,6,0.09918286243125621,7,0.09941552878770106,0.7777777777777778,0,0,0,0,2,,spermatogenic failure 34 via spermatogenic failure
79,0.995418,0.248855,same_family_shared_ancestor,false,f83468ba81f7ba59578cac42d544656a,53102,NCBIGene:8632,DNAH17,24767,MONDO:0054723,spermatogenic failure 19,6,0.09918286243125621,7,0.09941552878770106,0.7777777777777778,0,0,0,0,2,,spermatogenic failure 39 via spermatogenic failure
80,0.995397,0.248849,same_family_shared_ancestor,false,c723f0101ec86a7827207f3c6ea6bee6,53968,NCBIGene:26074,CFAP61,24767,MONDO:0054723,spermatogenic failure 19,4,0.09090899980859786,7,0.09941552878770106,0.6363636363636364,0,0,0,0,2,,spermatogenic failure 84 via spermatogenic failure
81,0.995397,0.248849,same_family_shared_ancestor,false,e2eaf807c2f495dd4e5f5f99ec3207d2,54809,NCBIGene:65975,STK33,24767,MONDO:0054723,spermatogenic failure 19,4,0.09090899980859786,7,0.09941552878770106,0.6363636363636364,0,0,0,0,2,,spermatogenic failure 93 via spermatogenic failure
