pair_id,label,gene_concept_id,gene_curie,gene_label,disease_concept_id,disease_curie,disease_label,seed_phenotype_count,seed_phenotype_rarity_score,shared_phenotype_count,shared_phenotype_rarity_score,phenotype_jaccard,shared_ratio_to_gene,shared_ratio_to_disease,gene_alias_count,gene_member_count,gene_xref_count,gene_phenotype_count,gene_out_degree,disease_alias_count,disease_member_count,disease_xref_count,disease_phenotype_count,disease_lacks_phenotype_count,disease_in_degree,disease_out_degree,disease_trial_count
5f44a01b93391ef4fe9a20cfe1c8bf20,1,50790,NCBIGene:675,BRCA2,7959,MONDO:0007959,medulloblastoma,0,0,14,1.3090212228102491,0.04844290657439446,0.05303030303030303,0.358974358974359,1,2,0,264,308,19,1,17,39,0,32,41,0
5fe9f5d49b0d0998b9cd3dfcd4f83b03,1,50717,NCBIGene:476,ATP1A1,24813,MONDO:0054833,"Charcot-Marie-tooth disease, axonal, type 2DD",0,0,14,0.16623346576158735,0.3333333333333333,0.3333333333333333,1,1,2,0,42,48,2,1,6,14,0,2,16,0
5fe9f5d49b0d0998b9cd3dfcd4f83b03,1,50717,NCBIGene:476,ATP1A1,24813,MONDO:0054833,"Charcot-Marie-tooth disease, axonal, type 2DD",0,0,14,0.16623346576158735,0.3333333333333333,0.3333333333333333,1,1,2,0,42,48,2,1,6,14,0,2,16,0
655823e686183a7060d5095f61af54d3,1,50868,NCBIGene:894,CCND2,14408,MONDO:0014408,megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 3,3,0.12203905249679897,14,0.3171131836550301,0.4666666666666667,0.4666666666666667,1,1,2,0,30,35,6,1,4,14,0,2,15,0
655823e686183a7060d5095f61af54d3,1,50868,NCBIGene:894,CCND2,14408,MONDO:0014408,megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 3,3,0.12203905249679897,14,0.3171131836550301,0.4666666666666667,0.4666666666666667,1,1,2,0,30,35,6,1,4,14,0,2,15,0
7a3c4c584e3d71377e153f2ea6d36fd6,1,50857,NCBIGene:859,CAV3,19947,MONDO:0019947,rippling muscle disease 2,3,0.95,14,2.9310014978197287,0.15217391304347827,0.15217391304347827,1,1,2,0,92,121,14,1,7,14,0,2,15,0
7a3c4c584e3d71377e153f2ea6d36fd6,1,50857,NCBIGene:859,CAV3,19947,MONDO:0019947,rippling muscle disease 2,3,0.95,14,2.9310014978197287,0.15217391304347827,0.15217391304347827,1,1,2,0,92,121,14,1,7,14,0,2,15,0
81969ec61e07132913912c8db9dce42f,1,50661,NCBIGene:286,ANK1,8447,MONDO:0008447,hereditary spherocytosis type 1,2,0.45384615384615384,14,1.1600282488583038,0.18181818181818182,0.18181818181818182,1,1,2,0,77,82,9,1,5,14,0,2,15,0
81969ec61e07132913912c8db9dce42f,1,50661,NCBIGene:286,ANK1,8447,MONDO:0008447,hereditary spherocytosis type 1,2,0.45384615384615384,14,1.1600282488583038,0.18181818181818182,0.18181818181818182,1,1,2,0,77,82,9,1,5,14,0,2,15,0
86b4e3724b19ab93e25c65d3db971f99,1,50756,NCBIGene:583,BBS2,14692,MONDO:0014692,retinitis pigmentosa 74,0,0,14,0.47673290388758205,0.07734806629834254,0.07734806629834254,1,1,2,0,181,189,6,1,6,14,0,2,17,0
86b4e3724b19ab93e25c65d3db971f99,1,50756,NCBIGene:583,BBS2,14692,MONDO:0014692,retinitis pigmentosa 74,0,0,14,0.47673290388758205,0.07734806629834254,0.07734806629834254,1,1,2,0,181,189,6,1,6,14,0,2,17,0
98c81d15887cc31c753d1cc1eba0e750,1,50821,NCBIGene:767,CA8,59241,ORPHA:1766,Dysequilibrium syndrome,5,0.04549077845217591,14,0.055631184693698044,0.6086956521739131,0.6086956521739131,1,1,2,0,23,26,1,1,0,14,0,5,14,0
a31f72af2758cdce3f26118ca32f5c25,1,50823,NCBIGene:773,CACNA1A,56248,ORPHA:97,Familial paroxysmal ataxia,0,0,14,0.31548634628817457,0.043076923076923075,0.043076923076923075,1,1,2,0,325,345,1,1,0,14,0,1,14,0
a624ef4f1cca033282c7bead11b0cd06,1,50882,NCBIGene:953,ENTPD1,14303,MONDO:0014303,hereditary spastic paraplegia 64,5,0.04248839294327499,14,0.12597324339551538,0.6086956521739131,0.6086956521739131,1,1,2,0,23,26,8,1,7,14,0,2,15,0
a624ef4f1cca033282c7bead11b0cd06,1,50882,NCBIGene:953,ENTPD1,14303,MONDO:0014303,hereditary spastic paraplegia 64,5,0.04248839294327499,14,0.12597324339551538,0.6086956521739131,0.6086956521739131,1,1,2,0,23,26,8,1,7,14,0,2,15,0
